Report generated on: 05-03-2026 15:14:49
"API","","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017"
"INTL.55-1-MTQ-TBPD.A","        Martinique","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.55-1-MRT-TBPD.A","        Mauritania","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","0","0","31.213698630136985","15.986301369863014","12.833333333333334","11.245219178082191","8.23223287671233","7.737641095890411","6.577076502732241","6.7504109589041095","6.003005479452055","5.2465753424657535","4.836065573770492","0"
"INTL.55-1-MUS-TBPD.A","        Mauritius","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","0","0","0","0","0","0","0.517","0.482","0.431","0.414","0.603","0.517","0.517","0"
"INTL.55-1-MEX-TBPD.A","        Mexico","1936.1994535519125","2313.1835616438357","2748.150684931507","2689.4657534246576","2780.2868852459014","2744.849315068493","2434.8273972602738","2548.3698630136987","2511.846994535519","2520.0164383561646","2553.0264328767125","2679.7954328767123","2669.3197919482877","3135.2520547945205","3083.093320547945","3026.895610958904","3285.021382513661","3460.795276712329","3521.1120438356165","3368.603575342466","3452.022483606557","3565.1789095890413","3592.4331698630135","3795.008591780822","3831.920398907104","3765.5022438356164","3689.7021506849314","3477.975915068493","3156.938524590164","2971.587383561644","2953.5416438356165","2934.587073972603","2910.6065573770493","2882.431506849315","2788.77397260274","2592.0219178082193","2459.1338797814205","2229.1767123287673"
"none","        Micronesia","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"INTL.55-1-MDA-TBPD.A","        Moldova","--","--","--","--","--","--","--","--","--","--","--","--","0","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.55-1-MNG-TBPD.A","        Mongolia","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","0.18","0.2","0.38","0.5","0.598","0.54","1.04","2.32","3.208","5.123","5.976","6.983295890410959","9.93450819672131","14.051495890410958","20.288024657534248","23.17655890410959","23.42622950819672","20"
"INTL.55-1-MNE-TBPD.A","        Montenegro","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.55-1-MSR-TBPD.A","        Montserrat","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.55-1-MAR-TBPD.A","        Morocco","1","1","1","1","1","1","0.5","0.4","0.4","0.3","0.3","0.3","0.2","1","1","1","1","1","1","0.258","0.279","0.216","0.13","","5.2","0.14","0.2","0.22","0.18","0.16","0.2","0.2","0.14","0.16","0.16","0.16","0.16","0.025"
"INTL.55-1-MOZ-TBPD.A","        Mozambique","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","0","0","0","0","0","0.02","0","0","0.02","0.03","0.04","0.16","0.282","0"
"INTL.55-1-NAM-TBPD.A","        Namibia","--","--","--","--","--","--","--","--","--","--","0","0","0","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.55-1-NRU-TBPD.A","        Nauru","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.55-1-NPL-TBPD.A","        Nepal","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.55-1-NLD-TBPD.A","        Netherlands","31","33","45","62","70","87","104","98","88","77","84","84","67","65.18082191780822","89.41643835616438","70.5068493150685","62.68336065573771","59.75616438356165","54.989041095890414","52.29150684931507","48.511475409836066","47.4027397260274","62.93424657534246","62.5071397260274","58.97332786885246","46.880830136986305","42.332169863013696","68.31429315068493","52.49180327868852","46.25479452054795","44.69158904109589","51.45572602739726","67.40026775956284","63.70646575342466","75.2805205479452","69.8451095890411","52.846774159989074","57.41801454292019"
"INTL.55-1-NLDA-TBPD.A","        Netherlands Antilles","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.55-1-NCL-TBPD.A","        New Caledonia","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.55-1-NZL-TBPD.A","        New Zealand","8","11","16","17","19","23","41","42","50","54","56","56","55","72.56438356164384","71.88493150684931","47.18356164383562","53.005464480874316","66.76164383561644","54.40547945205479","50.397260273972606","44.57377049180328","41.16164383561644","38.48219178082192","29.575391780821917","26.436825136612022","24.249386301369864","23.61365205479452","45.50753424657534","62.74847267759563","58.64317534246575","59.8378301369863","52.0426","46.983428961748636","41.70869315068493","46.60766849315068","48.392197260273974","40.60147267759563","19.640709589041094"
"INTL.55-1-NIC-TBPD.A","        Nicaragua","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","0","0","0","0","0.9","1","0.138","0.2","0.2","0.2","0.2","0","0.172","0"
"INTL.55-1-NER-TBPD.A","        Niger","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","0","0","0","0","0","0","0","6.712328767123288","20","20","20","14","13","16"
"INTL.55-1-NGA-TBPD.A","        Nigeria","2054.8333333333335","1433.1972602739727","1294.9808219178083","1241.150684931507","1387.9234972677596","1494.7917808219179","1467.0246575342467","1340.695890410959","1450.0546448087432","1715.9506849315069","1810.0004383561643","1891.8003534246575","1942.5660865825214","2022.8109589041096","2012.7254794520547","2038.513698630137","2254.092896174863","2382.3265753424657","2183.1704794520547","2058.7506630136986","2160.1065573770493","2222.7123287671234","2115.7753424657535","2285.7617452054797","2482.9918032786886","2545.604575342466","2420.649504109589","2302.334915068493","2165.4398907103823","2208.311287671233","2458.027397260274","2523.750684931507","2507.1092896174864","2357.317808219178","2402.178082191781","2231.068493150685","1934.3497267759562","2015.9141643835617"
"INTL.55-1-NIU-TBPD.A","        Niue","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.55-1-PRK-TBPD.A","        North Korea","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.55-1-MKD-TBPD.A","        North Macedonia","--","--","--","--","--","--","--","--","--","--","--","--","0","","","","","","","","","","","","0","0","0","0.05","0.01","0.01","0.04","0.1","0.11","0.1","0.14","0.231","0.236","0"
"none","        Northern Mariana Islands","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"INTL.55-1-NOR-TBPD.A","        Norway","485.8109262295082","474.45811232876713","492.3459424657534","614.9615123287671","707.2940136612021","772.596095890411","841.4901095890411","982.4860273972603","1113.0900655737705","1482.603087671233","1630.0080383561644","1870.8650547945206","2131.8848169398907","2376.512328767123","2684.921879452055","2893.232320547945","3222.535161202186","3263.167432876712","3122.167578082192","3122.3991671232875","3330.786281420765","3402.9359342465755","3321.8844794520546","3252.520424657534","3180.3045218579236","2962.238775342466","2772.7489260273974","2551.0187534246575","2457.7021857923496","2344.3561643835615","2137.8338767123287","2042.5871232876711","1918.1690163934427","1838.4642465753425","1888.9187671232876","1948.0191780821917","1995.258524590164","1970.514794520548"
"INTL.55-1-OMN-TBPD.A","        Oman","284","321","326","377","417","502","564","588","623","651","695","708","746","784.1369863013699","817.9121123287671","867.3168","887.9782923497268","903.9715890410959","900.0465753424658","904.4794520547945","957.9021857923498","958.7784931506849","900.0052328767123","821.6695068493151","784.3823224043716","776.7323287671232","740.0163890410959","712.6894657534247","762.7424344262296","817.7567616438356","869.4799342465753","890.5129123287671","923.3993087431694","944.7533780821918","950.4796410958904","988.1537397260274","1011.2148852459017","977.6377260273972"
"INTL.55-1-PAK-TBPD.A","        Pakistan","10","10","12","13","17","35","42","42","45","48","62","64","64","58.99178082191781","57","54","58","56","55","56","57.581","63.522","64.238","65","70","87.98959178082191","92.09098630136987","94.24657534246575","68.63757923497268","66.68938082191781","69.15810136986302","70.172","75.172","85.172","98.172","94.39269863013699","89.66873224043715","107.02661643835617"
"INTL.55-1-PSE-TBPD.A","        Palestinian Territories","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.55-1-PAN-TBPD.A","        Panama","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0.305","0.685","0.262","0.446","0"
"INTL.55-1-PNG-TBPD.A","        Papua New Guinea","0","0","0","0","0","0","0","0","0","0","0","0.2","53","126.23287671232876","133.5041095890411","103.71676712328767","106.35558196721311","80.0054794520548","78.9386301369863","88.4","64","60","48.293150684931504","48.81643835616438","42.15573770491803","53.69041095890411","48.49589041095891","38.463013698630135","41.3551912568306","39.54794520547945","30.794520547945204","29.161643835616438","27.330601092896174","30.435616438356163","49.35342465753425","57.5013698630137","55.99180327868852","50.419594520547946"
"INTL.55-1-PRY-TBPD.A","        Paraguay","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","0.1","0.6","0.8","1.1","1.7","2.2","2.45","2.639","2.945","3.313","3.571","4.837","4.687","5.697"
"INTL.55-1-PER-TBPD.A","        Peru","198","197","199","172","185","191","179","165","142","130","130","116","117","126.69041095890411","127.11048767123287","122.8958904109589","121.06634972677595","119.15342465753425","118.65205479452055","110.94132602739727","104.00650819672131","102.12054794520547","98.00245479452055","100.34963287671233","99.41530327868853","116.62213424657534","120.97853150684932","117.45798082191781","120.72847814207651","146.47950684931507","157.64080273972604","154.45691780821917","156.015956284153","170.70353698630137","175.4453698630137","152.02406301369862","138.64810109289618","137.82255616438357"
"INTL.55-1-PHL-TBPD.A","        Philippines","15","2","8","13","12","9","8","6","6","5","4.7","3","8","10","5","3","1","0.8","0.8","0.7519972602739726","0.9389617486338798","11.436986301369863","13.727432876712328","15","14","17.2","16.4","18.6","25.661494535519125","37.5","35.312","36.359","32.981","38.907","42.936","30.533287671232877","27.875","12.224"
"INTL.55-1-POL-TBPD.A","        Poland","8","8","5.5","5","5","5","5","4","4","3.3","2.2","3.1","3.2","4.7534246575342465","6.550410958904109","7.290350684931507","7.844300546448087","7.375309589041096","7.378109589041096","9.345380821917809","14.532814207650274","17.394517808219177","16.49855616438356","15.262043835616439","27.291532786885245","24.989117808219177","25.020101369863013","24.498167123287672","28.13337431693989","25.966890410958904","24.242868493150684","24.92750410958904","22.541581967213116","29.72998082191781","28.893016438356163","27.514134246575342","25.074997267759564","24.499956164383562"
"INTL.55-1-PRT-TBPD.A","        Portugal","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","0","0.02","1.2616575342465755","1.3876054794520547","3.7540983606557377","1","6.26","8.23","6","7.04","7.63","6.504","6.570191781","7.035514795"
"INTL.55-1-PRI-TBPD.A","        Puerto Rico","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.55-1-QAT-TBPD.A","        Qatar","471.77868852459017","405.21643835616436","329.8767123287671","294.94520547945206","394.37158469945354","301.47945205479454","307.9890410958904","293.05205479452053","345.9398907103825","380.11506849315066","406.00010684931505","395.0003616438356","395.7103825136612","470.6986301369863","466.3150684931507","522.1780821917808","569.172131147541","705.2739726027397","750.972602739726","764.2739726027397","860.1475409836065","881.027397260274","868.7808219178082","1041.3424657534247","1173.698087431694","1216.4616301369863","1277.197287671233","1325.8233287671233","1477.2058196721312","1469.1029589041095","1667.6792328767124","1813.5602876712328","2005.1917158469946","2001.7123287671234","1912.041095890411","1855.7671232876712","1838.431693989071","1784.972602739726"
"INTL.55-1-REU-TBPD.A","        Reunion","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.55-1-ROU-TBPD.A","        Romania","252","255","256","255","252","235","236","230","206","193","171","148","143","144.17808219178082","144.28144657534247","144.67928493150686","143","141.65928493150685","135.538","133.04916438356165","131.2336174863388","131.14378356164383","127.61800821917808","123.35839178082192","119.08282786885246","112.22142739726027","104.50524109589041","106.89695616438357","104.42960655737706","100.17690410958905","95.14586301369863","95.17413972602739","91.29998633879781","93.98862465753425","92.81067123287671","90.10079452054795","84.07683606557377","79.71344657534246"
"INTL.55-1-RUS-TBPD.A","        Russia","--","--","--","--","--","--","--","--","--","--","--","--","7631.937155737705","6793.047123287672","6415.07673150685","6201.765901369863","6042.25181147541","6126.107210958904","6065.316712328767","6098.556438356164","6526.829090163935","7060.5122164383565","7741.05397260274","8581.191010958904","9374.165846994536","9635.952775342466","9720.176646575343","10022.364361643835","9856.619672131148","10034.055342465754","10278.381575342466","10394.483095890411","10579.85768852459","10748.231547945206","10836.16806849315","11009.53698630137","11220.008196721312","11205.049315502314"
"INTL.55-1-RWA-TBPD.A","        Rwanda","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","0","0","0","0","0","0.01","0","0","0","0","0","0","0","0"
"INTL.55-1-SHN-TBPD.A","        Saint Helena","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.55-1-KNA-TBPD.A","        Saint Kitts and Nevis","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.55-1-LCA-TBPD.A","        Saint Lucia","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.55-1-SPM-TBPD.A","        Saint Pierre and Miquelon","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.55-1-VCT-TBPD.A","        Saint Vincent/Grenadines","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.55-1-WSM-TBPD.A","        Samoa","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.55-1-STP-TBPD.A","        Sao Tome and Principe","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.55-1-SAU-TBPD.A","        Saudi Arabia","9900.158469945356","9814.94794520548","6482.991780821918","5085.895890410959","4663.20218579235","3387.821917808219","4870.016438356164","4264.991780821918","5085.950819672131","5064.156164383561","6410.003594520548","8114.995863013699","8332.19425005537","8880.04109589041","8885.531506849315","8921.506849315068","8912.95081967213","9130.72602739726","9174.054794520547","8554.091520547945","9068.01106557377","8798.454753424658","8557.356726027398","10259.165753424657","10359.621120218579","10926.78993150685","10766.939356164383","10297.133863013698","11422.25643442623","10310.112446575342","9741.136044267123","11008.381361247944","11483.509962071585","11266.97186529041","11323.812810064384","11744.727762442466","12152.360655737704","12065.082191780823"
"INTL.55-1-SEN-TBPD.A","        Senegal","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.55-1-SRB-TBPD.A","        Serbia","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","16","16.5","17","18.5","21","18.58082191780822","16.997267759562842","18.495890410958904","17.838356164383562","21.328767123287673","21","18"
"INTL.55-1-SYC-TBPD.A","        Seychelles","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.55-1-SLE-TBPD.A","        Sierra Leone","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.55-1-SGP-TBPD.A","        Singapore","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","0","0.02","0.3","0.7","2","1","5","15","16","15","15","12.171","13.356","0"
"INTL.55-1-SVK-TBPD.A","        Slovakia","--","--","--","--","--","--","--","--","--","--","--","--","--","1","1.3507013698630137","1.504068493150685","1.4427185792349726","1.290495890410959","1.1728383561643836","1.3288383561643835","1.1696284153005465","1.2662602739726028","6.4662712328767125","4.2137890410958905","4.241789617486339","4.283698630136986","4.4272767123287675","3.4753561643835615","6.747868852459017","3.9534246575342467","9.354999999999999","6.69","6.078","7.991","7.888","8.535","8.928","5.836380821917809"
"INTL.55-1-SVN-TBPD.A","        Slovenia","--","--","--","--","--","--","--","--","--","--","--","--","0","","","","","","","","","","","","0.006","0.105","0.105","0.105","0.165","0.145","0.375","0.015","0.025","0.035","0.005","0.005","0.005","0"
"INTL.55-1-SLB-TBPD.A","        Solomon Islands","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.55-1-SOM-TBPD.A","        Somalia","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.55-1-ZAF-TBPD.A","        South Africa","0","4","20","55","55","60","60","65","60","70","70","70","129","130.5041095890411","175.032","185.032","187.54019672131147","199.62432876712327","196.9187808219178","199","199","194","205.85739726027398","191.9303095890411","217.16058469945355","208.48457260273972","205.83334520547945","199.9777506849315","179.67166666666665","169.04","168.5531506849315","169.13","169.04256830601093","168.71082191780823","148","108.086","103.086","106.43211780821918"
"INTL.55-1-KOR-TBPD.A","        South Korea","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","5.600123287671233","7.890561643835617","8.66038904109589","13.000021857923498","11.616339726027396","10.605446575342466","10.136975342465753","9.060243169398907","9.830249315068492","11.002761643835617","13.337090410958904","14.147620218579235","18.99458904109589","20.873898630136985","20.449287671232877","21.28436612021858","19.430205479452056","19.684942465753426","21.912364383561645","23.562975409836067","25.24097808219178"
"INTL.55-1-SSD-TBPD.A","        South Sudan","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","22.81160655737705","115.77000273972602","147.76291506849316","152.63880273972603","152.45901639344262","150.12476583882116"
"INTL.55-1-ESP-TBPD.A","        Spain","33","25","30","58","46","44","45","40","37","30","27","33","31","24.865753424657534","20.808265753424656","17.367216438356163","10.245901639344263","7.504109589041096","10.64109589041096","5.997260273972603","4.666666666666667","6.931506849315069","6.410958904109589","6.564495890410959","11.38315300546448","11.586402739726028","11.038345205479452","2.895824657534247","2.6666666666666665","4.336986301369863","29.062602739726028","26.760123287671234","23.48973224043716","39.48898630136986","37.75431506849315","32.86905479452055","33.43266666666667","49.47164931506849"
"INTL.55-1-LKA-TBPD.A","        Sri Lanka","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.55-1-SDN-TBPD.A","        Sudan","0","0","0","0","0","0","0","0","0","0","0","0","0.3","","","","2.308743169398907","5.383561643835616","10","69.83561643835617","176.67540983606557","207.92179726027396","240.78004383561642","265.1232876712329","301.45628415300547","305.47694520547947","345.0624712328767","476.14796438356166","477.80054644808746","483.55205479452053","486.2027397260274","453.26027397260276","92.72548087431694","134.6673397260274","114.37483835616439","108.80033424657535","105.64658469945356","102.34784600117015"
"INTL.55-1-SUR-TBPD.A","        Suriname","0","0","0","0","0","1","2","2","3","4","3.9","3.5","5","5","5.586301369863014","7.005479452054795","9","8","9.504109589041096","10","10","10","10","11","11","12","13","14","15.842103825136611","16","16","16","15.833333333333334","15","15","16","16","16"
"INTL.55-1-SWE-TBPD.A","        Sweden","0.5","0.1","0.3","0.4","0.2","0.1","0.073","0.073","0.054","0.054","0.054","0.036","0.018","","","","","","","","","","","","1.4","1.6","2.3","3.7","4.5","6.5","7.834","7.985","7.099","6.247","5.725","6.427","6.822","10.596"
"INTL.55-1-CHE-TBPD.A","        Switzerland","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","0.1","0.12","0.22","0.26","0.26","0.1","0.14","0.12","0.14","0.1","0.1","0.115","0.138","0.251"
"INTL.55-1-SYR-TBPD.A","        Syria","164","166","160","167","170","178","195","231","266","342","390","494","483","576.7671232876712","592.506","622.464","602.118","593.158","593.518","595.815","572.519","612.579602739726","676.6782465753424","651.575","486.981","447.874","421.27","404.094","406.412","400.998","385","352.42739726027395","170.79234972677597","59.49041095890411","32.52493150684931","26.55375890410959","25.201497267759564","26"
"INTL.55-1-TWN-TBPD.A","        Taiwan","7","8","6","6","6","4","4","5","4","4","4","3.2","3","2","1","1","1","1","1","1","1","1","0.8823095890410959","0.7885589041095891","0.7958551912568306","0.5881945205479452","0.432","0.436","0.707","1.006","0.275","0.225","1.366","1.332","1.302","0.9050000000000001","0.248","0.826"
"INTL.55-1-TJK-TBPD.A","        Tajikistan","--","--","--","--","--","--","--","--","--","--","--","--","1.3","1","1","0.797","0.598","0.52","0.5","0.4","0.4","0.326","0.309","0.352","0.352","0.3315123287671233","0.2999369863013699","0.27135616438356164","0.2352431693989071","0.21799452054794521","0.215","0.215","0.21374590163934426","0.206","0.206","0.1816164383561644","0.18","0.316"
"INTL.55-1-TZA-TBPD.A","        Tanzania","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","0","0","0","0","0","0.01","0","0","0","0","0","0","0","0"
"INTL.55-1-THA-TBPD.A","        Thailand","0.3","1.3","11","17","29","52","51","47","52","51","57","59","65","67.83013698630137","108.66","104.378","136.683","141.98931506849314","149.18485479452056","156.88359726027397","194.08459289617485","205.9136712328767","222.56730410958903","234.98499452054796","230.81959016393444","290.9768410958904","325.56732328767123","345.8849534246575","372.30526229508195","389.67298356164383","401.9462630136986","427.3589095890411","467.37706284153006","473.7463835616438","474.36934246575345","493.5968630136986","504.5245901639344","515.3465731506849"
"INTL.55-1-BHS-TBPD.A","        The Bahamas","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.55-1-TLS-TBPD.A","        Timor-Leste","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","","47.91544535519126","89","107","93","102","98","88","100","108","70","45","45","30","21"
"INTL.55-1-TGO-TBPD.A","        Togo","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.55-1-TON-TBPD.A","        Tonga","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.55-1-TTO-TBPD.A","        Trinidad and Tobago","211","240","180","160","170","175","168","157","157","154","150","154","142","124.56712328767124","142","142","141","134.57534246575344","133.6270301369863","140.97938356164383","138.0474480874317","133.99707123287672","153.93270684931508","163.45531780821918","151.94737704918032","171.23478630136987","178.97433150684932","157.1325917808219","157.14642076502733","156.1120575342466","148.418","142.1022493150685","121.95225409836065","119.30207671232877","116.11206575342466","108.7463698630137","96.65929508196722","98.69030684931508"
"INTL.55-1-TUN-TBPD.A","        Tunisia","110","118","120","120","120","114","111","109","108","110","98","109","114","102","94","92","89","81","85","84","78","73.25","76","68","72","73","71","98","85.93911202185792","81.37081369863014","78.9306602739726","67.32914246575342","66.2942868852459","64.14794520547945","53.5972602739726","40","42","42.70020547945206"
"INTL.55-1-TUR-TBPD.A","        Turkiye","46","46","50","44","41","41","46","51","50","56","73","88","84","","","","","","","","","","","45.28488493150685","43.24044262295082","43.99858630136986","42.70009589041096","42.09872602739726","42.684699453551914","47.205479452054796","48.47698630136986","46.063986301369866","45.6018306010929","47.569835616438354","49.67723287671233","51.29858904109589","52.31426775956284","53.209002739726024"
"INTL.55-1-TKM-TBPD.A","        Turkmenistan","--","--","--","--","--","--","--","--","--","--","--","--","110","80.22191780821917","73.5","76.5","88.43715846994536","116.99643835616439","150.97671232876712","157.4191589041096","158.18852459016392","176.65616438356165","189.176698630137","219","219","210","186","204","188.55956284153007","196.9682191780822","213.76054707762555","223.84209589040995","244.80901038251304","253.6346118721461","260.32365410958846","275.06849315068496","262.77868852459017","267.2668066666666"
"INTL.55-1-TCA-TBPD.A","        Turks and Caicos Islands","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"none","        Tuvalu","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"INTL.55-1-USIQ-TBPD.A","        U.S. Pacific Islands","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"none","        U.S. Territories","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"INTL.55-1-VIR-TBPD.A","        U.S. Virgin Islands","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.55-1-UGA-TBPD.A","        Uganda","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.55-1-UKR-TBPD.A","        Ukraine","--","--","--","--","--","--","--","--","--","--","--","--","96","85","92","90","90","92","87","83.90251232876712","81.559","82.123","82.859","86.612","94.521","96.575","99.181","97.711","91.98231147540983","86.73810410958905","77.53714246575342","73.17563561643836","74.67767213114755","69.25674246575342","60.78703561643836","56.35401369863014","53.08343715846995","52.18804383561644"
"INTL.55-1-ARE-TBPD.A","        United Arab Emirates","1708.7267759562842","1474.021917808219","1249.986301369863","1148.6301369863013","1145.9153005464482","1193.3972602739725","1330.0328767123287","1540.7260273972602","1565.068306010929","1860.1397260273973","2117.001093150685","2385.999687671233","2266.1464598390035","2458.66301369863","2920.19182739726","2880.204723287671","2939.7450109289616","3008.403180821918","2996.0295890410957","2742.6575342465753","2622.3688524590166","2574.832876712329","2405.671232876712","2749.794520547945","2839.94262295082","2994.3835616438355","3145.027397260274","3052.1917808219177","3036.7650273224044","2786","2804","3204.178082191781","3388.6065573770493","3429","3531.1917808219177","3660.4520547945203","3752.6502732240438","3707.878082191781"
"INTL.55-1-GBR-TBPD.A","        United Kingdom","1621.967213114754","1811.1342465753426","2065.0219178082193","2291.2602739726026","2479.74043715847","2529.6575342465753","2539.1013698630136","2405.923287671233","2232.0491803278687","1801.9561643835616","1819.999912328767","1797.0010465753426","1825.3825136612022","2138.6328767123287","2705.2580383561644","2791.6018328767123","2774.070557377049","2747.940701369863","2840.480095890411","2929.342476712329","2694.430762295082","2493.0547506849316","2482.390093150685","2279.138989041096","2048.2914508196723","1846.0614246575342","1676.2043287671233","1667.6388630136987","1535.4136174863388","1451.9078712328767","1354.2019260273973","1111.1155616438357","954.1847021857924","879.0979835616439","870.5044575342466","969.775493150685","1027.007368852459","1011.721216862018"
