Report generated on: 05-03-2026 15:14:49
"API","","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017"
"INTL.55-1-BGD-TBPD.A","        Bangladesh","0","0","0","0.2","0.4","0.7","0.8","0.8","0.8","0.7","1","0.9","1.1","3","3","3","3","2.495890410958904","2","3.591780821917808","4","4","6","3","9","9","9","8","12.666666666666666","11","12","12","11.666666666666666","11","11","12","15","15.324"
"INTL.55-1-BRB-TBPD.A","        Barbados","0","0","1","1","2","2","2","1.4","1.3","1.1","1.2","1.2","1.4","1","1","1","1","1","1","1","1","1","1.071309589041096","1.0138465753424657","1","1","1","1","1.001","1.001","1.001","1.001","1.001","1.001","1.001","1","1","0.6408575342465753"
"INTL.55-1-BLR-TBPD.A","        Belarus","--","--","--","--","--","--","--","--","--","--","--","--","40","40","40","39","36.82993442622951","36.11455068493151","36.49975890410959","37.116164383561646","36.919","37.04","36.92","36.4","35.981","35.7","35.6","35.2","35.2","33.5","30.76","30.62","30.66","30.52","30.56","26.463931506849317","33.02166666666667","32.24002465753425"
"INTL.55-1-BEL-TBPD.A","        Belgium","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","0","0.02","0.49","0","0","0","10.34","11.452","10.873","10.956","14.563","9.633","9.47","11.37"
"INTL.55-1-BLZ-TBPD.A","        Belize","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","0","0","2.2573095890410957","2.9997972602739726","3.5106639344262294","3.9895013698630137","4.146978082191781","3.853449315068493","2.814051912568306","2.1708383561643836","1.760041095890411","1.7084931506849315","1.7","0.9896624109589041"
"INTL.55-1-BEN-TBPD.A","        Benin","0","0","0","4","7","8","8","7","5","4","4","4","5.6","4","3","2","1","1","1","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.55-1-BMU-TBPD.A","        Bermuda","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.55-1-BTN-TBPD.A","        Bhutan","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.55-1-BOL-TBPD.A","        Bolivia","32","26","30","28","27","26","23","23","24","25","26","26","28","25.915068493150685","33","38","42","41","47","40","38.831071038251366","43.93034246575343","44.88394520547945","41.622605479452055","47.967639344262295","49.73828493150685","61.7721698630137","63.17110136986302","59.88932786885246","53.777750684931505","55.54117808219178","57.501164383561644","65.97198087431694","73.56126849315069","80.56744383561644","80.09207945205479","80.46782786885245","78.17478123287671"
"INTL.55-1-BIH-TBPD.A","        Bosnia and Herzegovina","--","--","--","--","--","--","--","--","--","--","--","--","0","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
